"","x"
"2140",83011
"2141",73056
"2142",43938
"2143",50145
"2144",61828
"2145",61027
"2146",36221
"2147",25043
"2148",28692
"2149",29000
"2150",33295
"2151",39306
"2152",33750
"2153",36368
"2154",36156
"2155",52949
"2156",41378
"2157",43217
"2158",31492
"2159",72946
"2160",64525
"2161",25511
"2162",31324
"2163",30091
"2164",250001
"2165",35696
"2166",45647
"2167",37700
"2168",36586
"2169",70799
"2170",107679
"2171",32124
"2172",49308
"2173",32445
"2174",83315
"2175",24668
"2176",71500
"2177",27464
"2178",43814
"2179",30565
"2180",23472
"2181",26416
"2182",59500
"2183",51005
"2184",27944
"2185",57121
"2186",27926
"2187",42351
"2188",31837
"2189",40094
"2190",30743
"2191",35295
"2192",34107
"2193",133750
"2194",28922
"2195",32486
"2196",36625
"2197",47097
"2198",55500
"2199",26538
"2200",31716
"2201",26853
"2202",50000
"2203",40679
"2204",34121
"2205",21565
"2206",50673
"2207",107042
"2208",42464
"2209",68491
"2210",53393
"2211",30142
"2212",26250
"2213",35598
"2214",61681
"2215",45167
"2216",73750
"2217",30485
"2218",32321
"2219",53958
"2220",50044
"2221",50707
"2222",50481
"2223",29837
"2224",42976
"2225",28919
"2226",92551
"2227",31236
"2228",38555
"2229",30625
"2230",47083
"2231",90114
"2232",36111
"2233",23225
"2234",27500
"2235",31250
"2236",90313
"2237",35606
"2238",119231
"2239",25485
"2240",56111
"2241",38359
"2242",30122
"2243",82292
"2244",36202
"2245",26156
"2246",91797
"2247",34141
"2248",79688
"2249",127212
"2250",26823
"2251",31139
"2252",41792
"2253",50115
"2254",60355
"2255",27243
"2256",82105
"2257",25734
"2258",61118
"2259",52462
"2260",44063
"2261",61705
"2262",78079
"2263",24191
"2264",31103
"2265",26550
"2266",79786
"2267",46061
"2268",31671
"2269",83750
"2270",31023
"2271",43158
"2272",50938
"2273",125573
"2274",76912
"2275",50038
"2276",53929
"2277",56630
"2278",106429
"2279",41974
"2280",52188
"2281",32103
"2282",58750
"2283",28864
"2284",52619
"2285",34241
"2286",26818
"2287",25278
"2288",51789
"2289",62917
"2290",32229
"2291",31133
"2292",30293
"2293",77188
"2294",27429
"2295",36475
"2296",33690
"2297",42411
"2298",47829
"2299",32100
"2300",33494
"2301",103485
"2302",26842
