"","x"
"533",100694
"534",57321
"535",41116
"536",41849
"537",83843
"538",63750
"539",37218
"540",29944
"541",28148
"542",84514
"543",87636
"544",105436
"545",64831
"546",35288
"547",63459
"548",35290
"549",40093
"550",31592
"551",77841
"552",55398
"553",35523
"554",26724
"555",24233
"556",21987
"557",25268
"558",96250
"559",72552
"560",29816
"561",85583
"562",45000
"563",57379
"564",51964
"565",60819
"566",40441
"567",59464
"568",40516
"569",67574
"570",24275
"571",40568
"572",48231
"573",57995
"574",29250
"575",49183
"576",30890
"577",28030
"578",56806
"579",23775
"580",25044
"581",28158
"582",41014
"583",41393
"584",43278
"585",35500
"586",35438
"587",30951
"588",51198
"589",36867
"590",82857
"591",61107
"592",28357
"593",50591
"594",54773
"595",30645
"596",20670
"597",60306
"598",27226
"599",48571
"600",30000
"601",33472
"602",63906
"603",37359
"604",33750
"605",27404
"606",27813
"607",24884
"608",26867
"609",50544
"610",30896
"611",31762
"612",25705
"613",64025
"614",50093
"615",36766
"616",77237
"617",71607
"618",80260
"619",31163
"620",46377
"621",58789
"622",98831
"623",72083
"624",74020
"625",43850
"626",72019
"627",49489
"628",26777
"629",37158
"630",24086
"631",43750
"632",25992
"633",24984
"634",43528
"635",50205
"636",36188
"637",35446
"638",35822
"639",35000
"640",30496
"641",31311
"642",51579
"643",32370
"644",66611
"645",37161
"646",82292
"647",40014
"648",45648
"649",25360
"650",53664
"651",33102
"652",62321
"653",52647
"654",37203
"655",94866
"656",153167
"657",79487
"658",58856
"659",104036
"660",100833
"661",57188
"662",68617
"663",35417
"664",34430
"665",34853
"666",26121
"667",27350
"668",34583
"669",39722
"670",36032
"671",30511
"672",21365
"673",26818
"674",28578
"675",30515
"676",22227
"677",23750
"678",25597
"679",23142
"680",25278
"681",26214
"682",29756
"683",190536
"684",193281
"685",165054
"686",250001
"687",41897
"688",55532
"689",100399
"690",93450
"691",97603
"692",101250
"693",73899
"694",121875
"695",70190
"696",105108
"697",102885
"698",134375
"699",81027
"700",29506
"701",31328
"702",35202
"703",51250
"704",37390
"705",41328
"706",20252
"707",105494
"708",45168
"709",38955
"710",22572
"711",22479
"712",38125
"713",29327
"714",21353
"715",94471
"716",63673
"717",79188
"718",126683
"719",124911
"720",38047
"721",53476
"722",50778
"723",64399
"724",79568
"725",101250
"726",94167
"727",46633
"728",73917
"729",80372
"730",68239
"731",73099
"732",158125
"733",69396
"734",87313
"735",126544
"736",72430
"737",35750
"738",33194
"739",57971
"740",27045
"741",35821
"742",101463
"743",66949
"744",67151
"745",75253
"746",27399
"747",45161
"748",31631
"749",40319
"750",28850
"751",22930
"752",23839
"753",30068
"754",30787
"755",23558
"756",37684
"757",39295
"758",137036
"759",60821
"760",91442
"761",32328
"762",51150
"763",46635
"764",42000
"765",31344
"766",26389
"767",56010
"768",38519
"769",108468
"770",70029
"771",25625
"772",40417
"773",130690
"774",80685
"775",37141
"776",60288
"777",27543
"778",36350
"779",29669
"780",51389
"781",26185
"782",72415
"783",58798
"784",94004
"785",22024
"786",36051
"787",24477
"788",25363
"789",21910
"790",19877
"791",25355
"792",19978
"793",26097
"794",23880
"795",21804
"796",46940
"797",30338
"798",41176
"799",24127
"800",53125
"801",128571
"802",93594
"803",51484
"804",44855
"805",36929
"806",47115
"807",31512
"808",102404
"809",46976
"810",70625
"811",61016
"812",92143
"813",42002
"814",41494
"815",42401
"816",42147
"817",36389
"818",36398
"819",38488
"820",231818
"821",139886
"822",101421
"823",181771
"824",104893
"825",86023
"826",73906
"827",78838
"828",40508
"829",63750
"830",81985
"831",92458
"832",93333
"833",100625
"834",53220
"835",25571
"836",39034
"837",31422
"838",80000
"839",61528
"840",74821
"841",91733
"842",55320
"843",164327
"844",121154
"845",123417
"846",66471
"847",102899
"848",51750
"849",104215
"850",96172
"851",63676
"852",100739
"853",43571
"854",51481
"855",48250
"856",41661
"857",29422
"858",31023
"859",35700
"860",50545
"861",71250
"862",62773
"863",58500
"864",79702
"865",106754
"866",189265
"867",83295
"868",47083
"869",31730
"870",36577
"871",28906
"872",39554
"873",52364
"874",26960
"875",31829
"876",38385
"877",46590
"878",66042
"879",49750
"880",170147
"881",147411
"882",155094
"883",125795
"884",75000
"885",50503
"886",70156
"887",41404
"888",50270
"889",40585
"890",103646
"891",64831
"892",79677
"893",51202
"894",78796
"895",50088
"896",49856
"897",50500
"898",47173
"899",39953
"900",49464
"901",43388
"902",2499
"903",55926
"904",51250
"905",38125
"906",83589
"907",76125
"908",32442
"909",30500
"910",27034
"911",25781
"912",32458
"913",27471
"914",102422
"915",52109
"916",37128
"917",106413
"918",72361
"919",48250
"920",39028
"921",40059
"922",45733
"923",90313
"924",81429
"925",46976
"926",36250
"927",65398
"928",45792
"929",84506
"930",103750
"931",88750
"932",122206
"933",82545
"934",82273
"935",77532
"936",52500
"937",41744
"938",36577
"939",37313
"940",36189
"941",37143
"942",78220
"943",43056
"944",100036
"945",94500
"946",73008
"947",78633
"948",27282
"949",39000
"950",60859
"951",35616
"952",51196
"953",39023
"954",32841
"955",32462
"956",35360
"957",42181
"958",35994
"959",35950
"960",62286
"961",34129
"962",42375
"963",19265
"964",50714
"965",45503
"966",50893
"967",59500
"968",64535
"969",69859
"970",41446
"971",46689
"972",41905
"973",38004
"974",30904
"975",31957
"976",27286
"977",20427
"978",25255
"979",23174
"980",25728
"981",26148
"982",30208
"983",30137
"984",36596
"985",30679
"986",32056
"987",30655
"988",27665
"989",30128
"990",24057
"991",33074
"992",24858
"993",27375
"994",28633
"995",35817
"996",35326
"997",31976
"998",31211
"999",31033
"1000",38092
"1001",27255
"1002",27159
"1003",35332
"1004",35417
"1005",46935
"1006",40264
"1007",45136
"1008",55417
"1009",46250
"1010",46000
"1011",62315
"1012",40432
"1013",38375
"1014",41458
"1015",32324
"1016",37008
"1017",41830
"1018",48304
"1019",27098
"1020",32813
"1021",60281
"1022",36858
"1023",94741
"1024",82264
"1025",73281
"1026",70699
"1027",46765
"1028",53141
"1029",42198
"1030",31643
"1031",41779
"1032",41173
"1033",57071
"1034",61764
"1035",82847
"1036",31250
"1037",67198
"1038",37298
"1039",47708
"1040",83886
"1041",81536
"1042",81305
"1043",78787
"1044",68698
"1045",36346
"1046",26308
"1047",51901
"1048",28250
"1049",101455
"1050",47022
"1051",28576
"1052",26134
"1053",30846
"1054",36583
"1055",26537
"1056",32447
"1057",31225
"1058",41491
"1059",35393
"1060",109886
"1061",42331
"1062",41440
"1063",74455
"1064",51898
"1065",53304
"1066",37961
"1067",121111
"1068",27179
"1069",69294
"1070",66250
"1071",37593
"1072",36962
"1073",47314
"1074",50192
"1075",60915
"1076",80156
"1077",53150
"1078",93750
"1079",32306
"1080",60170
"1081",26925
"1082",32200
"1083",36512
"1084",32043
"1085",32708
"1086",50690
"1087",35404
"1088",57132
"1089",81842
"1090",76818
"1091",69844
"1092",90313
"1093",84352
"1094",103199
"1095",43015
"1096",45648
"1097",40400
"1098",116645
"1099",24792
"1100",42422
"1101",41858
"1102",38988
"1103",42656
"1104",41658
"1105",39041
"1106",60234
"1107",51067
"1108",62250
"1109",89279
"1110",70674
"1111",109770
"1112",112083
"1113",51067
"1114",55714
"1115",41905
"1116",50533
"1117",61349
"1118",52063
"1119",67098
"1120",88452
"1121",72875
"1122",31365
"1123",25663
"1124",34539
"1125",40291
"1126",27378
"1127",31756
"1128",26813
"1129",64872
"1130",53472
"1131",74099
"1132",44306
"1133",41754
"1134",46364
"1135",46976
"1136",37198
"1137",41728
"1138",37240
"1139",39406
"1140",91921
"1141",26989
"1142",75156
"1143",54792
"1144",51957
"1145",52489
"1146",30234
"1147",44854
"1148",31237
"1149",58900
"1150",56745
"1151",25421
"1152",36955
"1153",33558
"1154",32147
"1155",26458
"1156",41375
"1157",58277
"1158",111071
"1159",32283
"1160",41189
"1161",67297
"1162",82361
"1163",84941
"1164",97381
"1165",95219
"1166",92656
"1167",36731
"1168",42150
"1169",32098
"1170",45741
"1171",30880
"1172",37656
"1173",28080
"1174",49289
"1175",42083
"1176",37321
"1177",24286
"1178",53289
"1179",128389
"1180",242250
"1181",136146
"1182",86083
"1183",52049
"1184",45698
"1185",76705
"1186",73385
"1187",93920
"1188",77500
"1189",250001
"1190",103736
"1191",206414
"1192",104309
"1193",130663
"1194",88750
"1195",64342
"1196",112042
"1197",81680
"1198",96011
"1199",87277
"1200",92552
"1201",68470
"1202",69866
"1203",61875
"1204",76504
"1205",38733
"1206",79570
"1207",43365
"1208",40324
"1209",37979
"1210",35313
"1211",53684
"1212",69107
"1213",70662
"1214",50662
"1215",41067
"1216",41867
"1217",93024
"1218",103125
"1219",84130
"1220",119866
"1221",127841
"1222",137333
"1223",39745
"1224",51212
"1225",70902
"1226",62500
"1227",55709
"1228",103526
"1229",36061
"1230",44412
"1231",66250
"1232",67380
"1233",87143
"1234",108676
"1235",55417
"1236",29493
"1237",61442
"1238",25871
"1239",18877
"1240",94831
"1241",83036
"1242",88446
"1243",112552
"1244",22847
"1245",65703
"1246",85417
"1247",102705
"1248",120313
"1249",73839
"1250",47222
"1251",61591
"1252",37656
"1253",28547
"1254",38361
"1255",26953
"1256",29625
"1257",33389
"1258",92822
"1259",43603
"1260",74207
"1261",50487
"1262",73750
"1263",68636
"1264",100208
"1265",118594
"1266",75536
"1267",101172
"1268",70463
"1269",64044
"1270",81760
"1271",112037
"1272",98250
"1273",34500
"1274",25034
"1275",22712
"1276",22426
"1277",22798
"1278",28359
"1279",29123
"1280",23885
"1281",26727
"1282",26218
"1283",23885
"1284",42196
"1285",35089
"1286",58382
"1287",60430
"1288",35104
"1289",26284
"1290",28269
"1291",30590
"1292",25941
"1293",39756
"1294",43895
"1295",31463
"1296",22177
"1297",22452
"1298",25803
"1299",24846
"1300",31690
"1301",26657
"1302",24732
"1303",20938
"1304",24028
"1305",199583
"1306",29676
"1307",30148
"1308",126211
"1309",109219
"1310",100417
"1311",77000
"1312",51548
"1313",37132
"1314",42355
"1315",42721
"1316",52361
"1317",46923
"1318",36384
"1319",30032
"1320",29479
"1321",29706
"1322",34940
"1323",31030
"1324",36861
"1325",24206
"1326",25652
"1327",52250
"1328",40560
"1329",30045
"1330",28325
"1331",20662
"1332",28659
"1333",37314
"1334",24955
"1335",24277
"1336",80658
"1337",65938
"1338",24229
"1339",20100
"1340",23929
"1341",64688
"1342",100476
"1343",24518
"1344",27064
"1345",48160
"1346",17290
"1347",19313
"1348",18812
"1349",23462
"1350",20537
"1351",26395
"1352",69708
"1353",65898
"1354",68333
"1355",79511
"1356",92650
"1357",93015
"1358",33333
"1359",43875
"1360",33030
"1361",24821
"1362",22273
"1363",21057
"1364",30903
"1365",31394
"1366",30197
"1367",22295
"1368",22673
"1369",162941
"1370",250001
"1371",250001
"1372",207606
"1373",250001
"1374",197841
"1375",208594
"1376",43600
"1377",117917
"1378",79041
"1379",90911
"1380",73750
"1381",85987
"1382",84667
"1383",110469
"1384",30984
"1385",41103
"1386",34779
"1387",30031
"1388",51672
"1389",41768
"1390",130263
"1391",41544
"1392",41362
"1393",85104
"1394",61207
"1395",86761
"1396",56902
"1397",72724
"1398",77500
"1399",101071
"1400",125063
"1401",54273
"1402",46207
"1403",35625
"1404",40156
"1405",34054
"1406",38105
"1407",42459
"1408",45234
"1409",56696
"1410",65861
"1411",41672
"1412",38704
"1413",42432
"1414",29231
"1415",62667
"1416",103208
"1417",113667
"1418",71536
"1419",81818
"1420",73359
"1421",48125
"1422",41959
"1423",88125
"1424",46875
"1425",56563
"1426",34143
"1427",32933
"1428",39394
"1429",37000
"1430",30354
"1431",30817
"1432",24719
"1433",33542
"1434",43875
"1435",82743
"1436",67813
"1437",119583
"1438",60926
"1439",38553
"1440",51037
"1441",36352
"1442",43606
"1443",44142
"1444",39258
"1445",51442
"1446",97794
"1447",41303
"1448",51875
"1449",35602
"1450",24784
"1451",43144
"1452",25864
"1453",39483
"1454",36462
"1455",35297
"1456",46357
"1457",65123
"1458",68393
"1459",62113
"1460",65189
"1461",50188
"1462",50121
"1463",49839
"1464",47417
"1465",26542
"1466",27813
"1467",78656
"1468",30032
"1469",91216
"1470",74167
"1471",64468
"1472",81037
"1473",81333
"1474",63317
"1475",60778
"1476",53065
"1477",53029
"1478",36739
"1479",37216
"1480",30412
"1481",109615
"1482",63938
"1483",56949
"1484",82102
"1485",93333
"1486",64063
"1487",50208
"1488",66172
"1489",33177
"1490",50943
"1491",61360
"1492",36034
"1493",45568
"1494",35792
"1495",35294
"1496",31477
"1497",31536
"1498",58750
"1499",37161
"1500",48345
"1501",70168
"1502",48821
"1503",42865
"1504",30516
"1505",129083
"1506",72361
"1507",128778
"1508",104971
"1509",40505
"1510",36467
"1511",33662
"1512",34194
"1513",76250
"1514",60833
"1515",84138
"1516",52045
"1517",75127
"1518",46163
"1519",62375
"1520",93542
"1521",73333
"1522",73691
"1523",40299
"1524",36852
"1525",35536
"1526",31727
"1527",39643
"1528",30109
"1529",30074
"1530",30491
"1531",82050
"1532",73873
"1533",91000
"1534",84784
"1535",89211
"1536",128125
"1537",79211
"1538",33239
"1539",31969
"1540",30044
"1541",25112
"1542",53164
"1543",66463
"1544",29738
"1545",46717
"1546",82653
"1547",28750
"1548",26200
"1549",27667
"1550",26533
"1551",29342
"1552",29559
"1553",31240
"1554",26113
"1555",26667
"1556",27823
"1557",30179
"1558",38688
"1559",26824
"1560",40644
"1561",46510
"1562",59031
"1563",80500
"1564",100500
"1565",23664
"1566",25893
"1567",50250
"1568",41838
"1569",50702
"1570",52582
"1571",42794
"1572",40211
"1573",42829
"1574",35763
"1575",47917
"1576",34615
